Vis,Frec,X,Y,Z,Formato
Alta,Baja,-70.3429157810707,-27.3607807776863,370.828425747053,1
Alta,Alta,-70.3468988331741,-27.3576351497311,366.783646927777,0
Alta,Baja,-70.3442743152834,-27.3597227782246,369.450120586921,1
Baja,Baja,-70.3510474129577,-27.3493921437904,358.054017132529,1
Alta,Media,-70.3471101071684,-27.3489486540246,365.703896784945,1
Alta,Baja,-70.3515800446419,-27.3538555881312,361.038974297648,1
Baja,Baja,-70.3490930014704,-27.3531819639332,361.414218034145,1
Media,Baja,-70.3498329676201,-27.3501882114065,359.956772731826,1
Alta,Media,-70.3440199762568,-27.3597551100554,369.753794239253,1
Alta,Alta,-70.3489434846837,-27.3576751645089,364.350443024841,1
Media,Media,-70.3463335701372,-27.3498399346417,364.111158101593,1
Alta,Baja,-70.3522863104525,-27.3558856511547,361.947572885701,1
Alta,Alta,-70.3499811406726,-27.3600411483899,366.120048441086,1
Alta,Alta,-70.3475482954414,-27.3530404472776,361.873870924985,0
Baja,Baja,-70.3491475747714,-27.3556309880117,363.74551945284,0
Media,Alta,-70.3485702999657,-27.3588780717822,365.277613902198,1
Alta,Alta,-70.3467947154725,-27.3602399140331,367.441146276728,1
Alta,Alta,-70.3482304019627,-27.3515807998543,360.798178487471,1
Alta,Alta,-70.3473863884496,-27.3512784289662,361.77396285308,1
Media,Alta,-70.3510422912546,-27.3503951238571,358.745550334555,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Alta,Media,-70.353542197353,-27.3465141816018,354.460037450261,1
Alta,Media,-70.3518049891306,-27.3537956444421,360.340859944734,1
Alta,Alta,-70.343879768152,-27.3638542158216,371.301556358164,0
Baja,Baja,-70.3516675657277,-27.3537524821326,360.219215436624,1
Baja,Baja,-70.3511124172445,-27.3485031670886,357.262449901135,1
Alta,Alta,-70.3498257942781,-27.354099486305,361.382775364249,1
Alta,Alta,-70.3520864889114,-27.3560768985454,362.574681606234,0
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Baja,Alta,-70.3497843533113,-27.3541334615592,361.50337478388,1
Media,Media,-70.3460003862727,-27.3501569157178,364.821284856503,1
Alta,Media,-70.3465481956785,-27.349731677242,363.754900484326,1
Alta,Alta,-70.3433163584992,-27.3639225189118,371.435649875451,1
Alta,Alta,-70.3504077403948,-27.3565545349188,363.423177559847,1
Alta,Media,-70.3464283303096,-27.3619538415431,368.486882933179,1
Alta,Media,-70.3516245782835,-27.3539853295721,361.153843833894,0
Alta,Alta,-70.3473863884496,-27.3512784289662,361.77396285308,1
Alta,Alta,-70.3446072754652,-27.3607424152343,370.171952340731,0
Media,Baja,-70.3431500575744,-27.3603966049223,370.710581094883,1
Alta,Baja,-70.3506644247061,-27.3563920896463,363.168427843188,1
Alta,Alta,-70.3475482954414,-27.3530404472776,361.873870924985,0
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Media,Baja,-70.3513430634021,-27.3540916619663,361.222303147255,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3462969981748,-27.3604586006051,367.726486672895,1
Alta,Alta,-70.3435598500048,-27.3640586740595,372.360875285891,1
Baja,Media,-70.3470535159277,-27.3496826399155,363.229556179766,1
Media,Media,-70.351748055086,-27.3538497956556,360.57784688483,1
Alta,Alta,-70.34992391755,-27.354465172824,362.227917306755,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Baja,Baja,-70.3514201752054,-27.3540134194356,361.168173731287,1
Baja,Baja,-70.3451979285918,-27.3580616918903,367.667221415526,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Baja,Alta,-70.3446279072733,-27.3597694852744,368.940022298983,1
Alta,Alta,-70.3512428478869,-27.3503772338801,358.323482035976,1
Alta,Media,-70.3504890435328,-27.3564527548977,363.485811897159,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Media,-70.3439086325993,-27.3634129321879,371.19670341815,1
Baja,Baja,-70.3504705755522,-27.351849157908,360.092701513504,1
Baja,Baja,-70.3451979285918,-27.3580616918903,367.667221415526,1
Media,Media,-70.3490326919105,-27.3468431712908,364.343878273971,1
Media,Media,-70.3516788665697,-27.3446342073355,356.53239116054,1
Alta,Media,-70.3465481956785,-27.349731677242,363.754900484326,1
Alta,Alta,-70.3516558201558,-27.3539503574799,360.999270184375,0
Alta,Alta,-70.3492413014596,-27.3559499490202,363.539711393153,1
Alta,Media,-70.3471101071684,-27.3489486540246,365.703896784945,1
Alta,Media,-70.3466334083418,-27.349704369382,363.738445693086,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Baja,Baja,-70.3402864369343,-27.360679637844,373.596303722005,1
Media,Baja,-70.3507661658747,-27.3564152288606,363.114104214384,1
Alta,Alta,-70.344611228426,-27.3613993374891,369.696335882575,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Alta,Alta,-70.3439754265599,-27.3523867929649,376.545326978761,1
Alta,Baja,-70.3442743152834,-27.3597227782246,369.450120586921,1
Alta,Media,-70.3467432451856,-27.3496819018971,363.675476157666,1
Media,Media,-70.3509749127233,-27.3461003573035,358.621609127793,1
